DateKey,FullDate,DayOf_Week,DayOf_Month,_Month,_MonthName,_Year,_Quarter,IsWeekend,RowCycleId,InsertDate
20210417,2021-04-17,7,17,4,April,2021,2,1,1,2025-08-27 16:36:00
20210418,2021-04-18,1,18,4,April,2021,2,1,1,2025-08-27 16:36:00
20210419,2021-04-19,2,19,4,April,2021,2,0,1,2025-08-27 16:36:00
20210420,2021-04-20,3,20,4,April,2021,2,0,1,2025-08-27 16:36:00
20210421,2021-04-21,4,21,4,April,2021,2,0,1,2025-08-27 16:36:00
20210422,2021-04-22,5,22,4,April,2021,2,0,1,2025-08-27 16:36:00
20210423,2021-04-23,6,23,4,April,2021,2,0,1,2025-08-27 16:36:00
20210424,2021-04-24,7,24,4,April,2021,2,1,1,2025-08-27 16:36:00
20210425,2021-04-25,1,25,4,April,2021,2,1,1,2025-08-27 16:36:00
20210426,2021-04-26,2,26,4,April,2021,2,0,1,2025-08-27 16:36:00
20210427,2021-04-27,3,27,4,April,2021,2,0,1,2025-08-27 16:36:00
20210428,2021-04-28,4,28,4,April,2021,2,0,1,2025-08-27 16:36:00
20210429,2021-04-29,5,29,4,April,2021,2,0,1,2025-08-27 16:36:00
20210430,2021-04-30,6,30,4,April,2021,2,0,1,2025-08-27 16:36:00
20210501,2021-05-01,7,1,5,May,2021,2,1,1,2025-08-27 16:36:00
20210502,2021-05-02,1,2,5,May,2021,2,1,1,2025-08-27 16:36:00
20210503,2021-05-03,2,3,5,May,2021,2,0,1,2025-08-27 16:36:00
20210504,2021-05-04,3,4,5,May,2021,2,0,1,2025-08-27 16:36:00
20210505,2021-05-05,4,5,5,May,2021,2,0,1,2025-08-27 16:36:00
20210506,2021-05-06,5,6,5,May,2021,2,0,1,2025-08-27 16:36:00
20210507,2021-05-07,6,7,5,May,2021,2,0,1,2025-08-27 16:36:00
20210508,2021-05-08,7,8,5,May,2021,2,1,1,2025-08-27 16:36:00
20210509,2021-05-09,1,9,5,May,2021,2,1,1,2025-08-27 16:36:00
20210510,2021-05-10,2,10,5,May,2021,2,0,1,2025-08-27 16:36:00
20210511,2021-05-11,3,11,5,May,2021,2,0,1,2025-08-27 16:36:00
20210512,2021-05-12,4,12,5,May,2021,2,0,1,2025-08-27 16:36:00
20210513,2021-05-13,5,13,5,May,2021,2,0,1,2025-08-27 16:36:00
20210514,2021-05-14,6,14,5,May,2021,2,0,1,2025-08-27 16:36:00
20210515,2021-05-15,7,15,5,May,2021,2,1,1,2025-08-27 16:36:00
20210516,2021-05-16,1,16,5,May,2021,2,1,1,2025-08-27 16:36:00
20210517,2021-05-17,2,17,5,May,2021,2,0,1,2025-08-27 16:36:00
20210518,2021-05-18,3,18,5,May,2021,2,0,1,2025-08-27 16:36:00
20210519,2021-05-19,4,19,5,May,2021,2,0,1,2025-08-27 16:36:00
20210520,2021-05-20,5,20,5,May,2021,2,0,1,2025-08-27 16:36:00
20210521,2021-05-21,6,21,5,May,2021,2,0,1,2025-08-27 16:36:00
20210522,2021-05-22,7,22,5,May,2021,2,1,1,2025-08-27 16:36:00
20210523,2021-05-23,1,23,5,May,2021,2,1,1,2025-08-27 16:36:00
20210524,2021-05-24,2,24,5,May,2021,2,0,1,2025-08-27 16:36:00
20210525,2021-05-25,3,25,5,May,2021,2,0,1,2025-08-27 16:36:00
20210526,2021-05-26,4,26,5,May,2021,2,0,1,2025-08-27 16:36:00
20210527,2021-05-27,5,27,5,May,2021,2,0,1,2025-08-27 16:36:00
20210528,2021-05-28,6,28,5,May,2021,2,0,1,2025-08-27 16:36:00
20210529,2021-05-29,7,29,5,May,2021,2,1,1,2025-08-27 16:36:00
20210530,2021-05-30,1,30,5,May,2021,2,1,1,2025-08-27 16:36:00
20210531,2021-05-31,2,31,5,May,2021,2,0,1,2025-08-27 16:36:00
20210601,2021-06-01,3,1,6,June,2021,2,0,1,2025-08-27 16:36:00
20210602,2021-06-02,4,2,6,June,2021,2,0,1,2025-08-27 16:36:00
20210603,2021-06-03,5,3,6,June,2021,2,0,1,2025-08-27 16:36:00
20210604,2021-06-04,6,4,6,June,2021,2,0,1,2025-08-27 16:36:00
20210605,2021-06-05,7,5,6,June,2021,2,1,1,2025-08-27 16:36:00
20210606,2021-06-06,1,6,6,June,2021,2,1,1,2025-08-27 16:36:00
20210607,2021-06-07,2,7,6,June,2021,2,0,1,2025-08-27 16:36:00
20210608,2021-06-08,3,8,6,June,2021,2,0,1,2025-08-27 16:36:00
20210609,2021-06-09,4,9,6,June,2021,2,0,1,2025-08-27 16:36:00
20210610,2021-06-10,5,10,6,June,2021,2,0,1,2025-08-27 16:36:00
20210611,2021-06-11,6,11,6,June,2021,2,0,1,2025-08-27 16:36:00
20210612,2021-06-12,7,12,6,June,2021,2,1,1,2025-08-27 16:36:00
20210613,2021-06-13,1,13,6,June,2021,2,1,1,2025-08-27 16:36:00
20210614,2021-06-14,2,14,6,June,2021,2,0,1,2025-08-27 16:36:00
20210615,2021-06-15,3,15,6,June,2021,2,0,1,2025-08-27 16:36:00
20210616,2021-06-16,4,16,6,June,2021,2,0,1,2025-08-27 16:36:00
20210617,2021-06-17,5,17,6,June,2021,2,0,1,2025-08-27 16:36:00
20210618,2021-06-18,6,18,6,June,2021,2,0,1,2025-08-27 16:36:00
20210619,2021-06-19,7,19,6,June,2021,2,1,1,2025-08-27 16:36:00
20210620,2021-06-20,1,20,6,June,2021,2,1,1,2025-08-27 16:36:00
20210621,2021-06-21,2,21,6,June,2021,2,0,1,2025-08-27 16:36:00
20210622,2021-06-22,3,22,6,June,2021,2,0,1,2025-08-27 16:36:00
20210623,2021-06-23,4,23,6,June,2021,2,0,1,2025-08-27 16:36:00
20210624,2021-06-24,5,24,6,June,2021,2,0,1,2025-08-27 16:36:00
20210625,2021-06-25,6,25,6,June,2021,2,0,1,2025-08-27 16:36:00
20210626,2021-06-26,7,26,6,June,2021,2,1,1,2025-08-27 16:36:00
20210627,2021-06-27,1,27,6,June,2021,2,1,1,2025-08-27 16:36:00
20210628,2021-06-28,2,28,6,June,2021,2,0,1,2025-08-27 16:36:00
20210629,2021-06-29,3,29,6,June,2021,2,0,1,2025-08-27 16:36:00
20210630,2021-06-30,4,30,6,June,2021,2,0,1,2025-08-27 16:36:00
20210701,2021-07-01,5,1,7,July,2021,3,0,1,2025-08-27 16:36:00
20210702,2021-07-02,6,2,7,July,2021,3,0,1,2025-08-27 16:36:00
20210703,2021-07-03,7,3,7,July,2021,3,1,1,2025-08-27 16:36:00
20210704,2021-07-04,1,4,7,July,2021,3,1,1,2025-08-27 16:36:00
20210705,2021-07-05,2,5,7,July,2021,3,0,1,2025-08-27 16:36:00
20210706,2021-07-06,3,6,7,July,2021,3,0,1,2025-08-27 16:36:00
20210707,2021-07-07,4,7,7,July,2021,3,0,1,2025-08-27 16:36:00
20210708,2021-07-08,5,8,7,July,2021,3,0,1,2025-08-27 16:36:00
20210709,2021-07-09,6,9,7,July,2021,3,0,1,2025-08-27 16:36:00
20210710,2021-07-10,7,10,7,July,2021,3,1,1,2025-08-27 16:36:00
20210711,2021-07-11,1,11,7,July,2021,3,1,1,2025-08-27 16:36:00
20210712,2021-07-12,2,12,7,July,2021,3,0,1,2025-08-27 16:36:00
20210713,2021-07-13,3,13,7,July,2021,3,0,1,2025-08-27 16:36:00
20210714,2021-07-14,4,14,7,July,2021,3,0,1,2025-08-27 16:36:00
20210715,2021-07-15,5,15,7,July,2021,3,0,1,2025-08-27 16:36:00
20210716,2021-07-16,6,16,7,July,2021,3,0,1,2025-08-27 16:36:00
20210717,2021-07-17,7,17,7,July,2021,3,1,1,2025-08-27 16:36:00
20210718,2021-07-18,1,18,7,July,2021,3,1,1,2025-08-27 16:36:00
20210719,2021-07-19,2,19,7,July,2021,3,0,1,2025-08-27 16:36:00
20210720,2021-07-20,3,20,7,July,2021,3,0,1,2025-08-27 16:36:00
20210721,2021-07-21,4,21,7,July,2021,3,0,1,2025-08-27 16:36:00
20210722,2021-07-22,5,22,7,July,2021,3,0,1,2025-08-27 16:36:00
20210723,2021-07-23,6,23,7,July,2021,3,0,1,2025-08-27 16:36:00
20210724,2021-07-24,7,24,7,July,2021,3,1,1,2025-08-27 16:36:00
20210725,2021-07-25,1,25,7,July,2021,3,1,1,2025-08-27 16:36:00
20210726,2021-07-26,2,26,7,July,2021,3,0,1,2025-08-27 16:36:00
20210727,2021-07-27,3,27,7,July,2021,3,0,1,2025-08-27 16:36:00
20210728,2021-07-28,4,28,7,July,2021,3,0,1,2025-08-27 16:36:00
20210729,2021-07-29,5,29,7,July,2021,3,0,1,2025-08-27 16:36:00
20210730,2021-07-30,6,30,7,July,2021,3,0,1,2025-08-27 16:36:00
20210731,2021-07-31,7,31,7,July,2021,3,1,1,2025-08-27 16:36:00
20210801,2021-08-01,1,1,8,August,2021,3,1,1,2025-08-27 16:36:00
20210802,2021-08-02,2,2,8,August,2021,3,0,1,2025-08-27 16:36:00
20210803,2021-08-03,3,3,8,August,2021,3,0,1,2025-08-27 16:36:00
20210804,2021-08-04,4,4,8,August,2021,3,0,1,2025-08-27 16:36:00
20210805,2021-08-05,5,5,8,August,2021,3,0,1,2025-08-27 16:36:00
20210806,2021-08-06,6,6,8,August,2021,3,0,1,2025-08-27 16:36:00
20210807,2021-08-07,7,7,8,August,2021,3,1,1,2025-08-27 16:36:00
20210808,2021-08-08,1,8,8,August,2021,3,1,1,2025-08-27 16:36:00
20210809,2021-08-09,2,9,8,August,2021,3,0,1,2025-08-27 16:36:00
20210810,2021-08-10,3,10,8,August,2021,3,0,1,2025-08-27 16:36:00
20210811,2021-08-11,4,11,8,August,2021,3,0,1,2025-08-27 16:36:00
20210812,2021-08-12,5,12,8,August,2021,3,0,1,2025-08-27 16:36:00
20210813,2021-08-13,6,13,8,August,2021,3,0,1,2025-08-27 16:36:00
20210814,2021-08-14,7,14,8,August,2021,3,1,1,2025-08-27 16:36:00
20210815,2021-08-15,1,15,8,August,2021,3,1,1,2025-08-27 16:36:00
20210816,2021-08-16,2,16,8,August,2021,3,0,1,2025-08-27 16:36:00
20210817,2021-08-17,3,17,8,August,2021,3,0,1,2025-08-27 16:36:00
20210818,2021-08-18,4,18,8,August,2021,3,0,1,2025-08-27 16:36:00
20210819,2021-08-19,5,19,8,August,2021,3,0,1,2025-08-27 16:36:00
20210820,2021-08-20,6,20,8,August,2021,3,0,1,2025-08-27 16:36:00
20210821,2021-08-21,7,21,8,August,2021,3,1,1,2025-08-27 16:36:00
20210822,2021-08-22,1,22,8,August,2021,3,1,1,2025-08-27 16:36:00
20210823,2021-08-23,2,23,8,August,2021,3,0,1,2025-08-27 16:36:00
20210824,2021-08-24,3,24,8,August,2021,3,0,1,2025-08-27 16:36:00
20210825,2021-08-25,4,25,8,August,2021,3,0,1,2025-08-27 16:36:00
20210826,2021-08-26,5,26,8,August,2021,3,0,1,2025-08-27 16:36:00
20210827,2021-08-27,6,27,8,August,2021,3,0,1,2025-08-27 16:36:00
20210828,2021-08-28,7,28,8,August,2021,3,1,1,2025-08-27 16:36:00
20210829,2021-08-29,1,29,8,August,2021,3,1,1,2025-08-27 16:36:00
20210830,2021-08-30,2,30,8,August,2021,3,0,1,2025-08-27 16:36:00
20210831,2021-08-31,3,31,8,August,2021,3,0,1,2025-08-27 16:36:00
20210901,2021-09-01,4,1,9,September,2021,3,0,1,2025-08-27 16:36:00
20210902,2021-09-02,5,2,9,September,2021,3,0,1,2025-08-27 16:36:00
20210903,2021-09-03,6,3,9,September,2021,3,0,1,2025-08-27 16:36:00
20210904,2021-09-04,7,4,9,September,2021,3,1,1,2025-08-27 16:36:00
20210905,2021-09-05,1,5,9,September,2021,3,1,1,2025-08-27 16:36:00
20210906,2021-09-06,2,6,9,September,2021,3,0,1,2025-08-27 16:36:00
20210907,2021-09-07,3,7,9,September,2021,3,0,1,2025-08-27 16:36:00
20210908,2021-09-08,4,8,9,September,2021,3,0,1,2025-08-27 16:36:00
20210909,2021-09-09,5,9,9,September,2021,3,0,1,2025-08-27 16:36:00
20210910,2021-09-10,6,10,9,September,2021,3,0,1,2025-08-27 16:36:00
20210911,2021-09-11,7,11,9,September,2021,3,1,1,2025-08-27 16:36:00
20210912,2021-09-12,1,12,9,September,2021,3,1,1,2025-08-27 16:36:00
20210913,2021-09-13,2,13,9,September,2021,3,0,1,2025-08-27 16:36:00
20210914,2021-09-14,3,14,9,September,2021,3,0,1,2025-08-27 16:36:00
20210915,2021-09-15,4,15,9,September,2021,3,0,1,2025-08-27 16:36:00
20210916,2021-09-16,5,16,9,September,2021,3,0,1,2025-08-27 16:36:00
20210917,2021-09-17,6,17,9,September,2021,3,0,1,2025-08-27 16:36:00
20210918,2021-09-18,7,18,9,September,2021,3,1,1,2025-08-27 16:36:00
20210919,2021-09-19,1,19,9,September,2021,3,1,1,2025-08-27 16:36:00
20210920,2021-09-20,2,20,9,September,2021,3,0,1,2025-08-27 16:36:00
20210921,2021-09-21,3,21,9,September,2021,3,0,1,2025-08-27 16:36:00
20210922,2021-09-22,4,22,9,September,2021,3,0,1,2025-08-27 16:36:00
20210923,2021-09-23,5,23,9,September,2021,3,0,1,2025-08-27 16:36:00
20210924,2021-09-24,6,24,9,September,2021,3,0,1,2025-08-27 16:36:00
20210925,2021-09-25,7,25,9,September,2021,3,1,1,2025-08-27 16:36:00
20210926,2021-09-26,1,26,9,September,2021,3,1,1,2025-08-27 16:36:00
20210927,2021-09-27,2,27,9,September,2021,3,0,1,2025-08-27 16:36:00
20210928,2021-09-28,3,28,9,September,2021,3,0,1,2025-08-27 16:36:00
20210929,2021-09-29,4,29,9,September,2021,3,0,1,2025-08-27 16:36:00
20210930,2021-09-30,5,30,9,September,2021,3,0,1,2025-08-27 16:36:00
20211001,2021-10-01,6,1,10,October,2021,4,0,1,2025-08-27 16:36:00
20211002,2021-10-02,7,2,10,October,2021,4,1,1,2025-08-27 16:36:00
20211003,2021-10-03,1,3,10,October,2021,4,1,1,2025-08-27 16:36:00
20211004,2021-10-04,2,4,10,October,2021,4,0,1,2025-08-27 16:36:00
20211005,2021-10-05,3,5,10,October,2021,4,0,1,2025-08-27 16:36:00
20211006,2021-10-06,4,6,10,October,2021,4,0,1,2025-08-27 16:36:00
20211007,2021-10-07,5,7,10,October,2021,4,0,1,2025-08-27 16:36:00
20211008,2021-10-08,6,8,10,October,2021,4,0,1,2025-08-27 16:36:00
20211009,2021-10-09,7,9,10,October,2021,4,1,1,2025-08-27 16:36:00
20211010,2021-10-10,1,10,10,October,2021,4,1,1,2025-08-27 16:36:00
20211011,2021-10-11,2,11,10,October,2021,4,0,1,2025-08-27 16:36:00
20211012,2021-10-12,3,12,10,October,2021,4,0,1,2025-08-27 16:36:00
20211013,2021-10-13,4,13,10,October,2021,4,0,1,2025-08-27 16:36:00
20211014,2021-10-14,5,14,10,October,2021,4,0,1,2025-08-27 16:36:00
20211015,2021-10-15,6,15,10,October,2021,4,0,1,2025-08-27 16:36:00
20211016,2021-10-16,7,16,10,October,2021,4,1,1,2025-08-27 16:36:00
20211017,2021-10-17,1,17,10,October,2021,4,1,1,2025-08-27 16:36:00
20211018,2021-10-18,2,18,10,October,2021,4,0,1,2025-08-27 16:36:00
20211019,2021-10-19,3,19,10,October,2021,4,0,1,2025-08-27 16:36:00
20211020,2021-10-20,4,20,10,October,2021,4,0,1,2025-08-27 16:36:00
20211021,2021-10-21,5,21,10,October,2021,4,0,1,2025-08-27 16:36:00
20211022,2021-10-22,6,22,10,October,2021,4,0,1,2025-08-27 16:36:00
20211023,2021-10-23,7,23,10,October,2021,4,1,1,2025-08-27 16:36:00
20211024,2021-10-24,1,24,10,October,2021,4,1,1,2025-08-27 16:36:00
20211025,2021-10-25,2,25,10,October,2021,4,0,1,2025-08-27 16:36:00
20211026,2021-10-26,3,26,10,October,2021,4,0,1,2025-08-27 16:36:00
20211027,2021-10-27,4,27,10,October,2021,4,0,1,2025-08-27 16:36:00
20211028,2021-10-28,5,28,10,October,2021,4,0,1,2025-08-27 16:36:00
20211029,2021-10-29,6,29,10,October,2021,4,0,1,2025-08-27 16:36:00
20211030,2021-10-30,7,30,10,October,2021,4,1,1,2025-08-27 16:36:00
20211031,2021-10-31,1,31,10,October,2021,4,1,1,2025-08-27 16:36:00
20211101,2021-11-01,2,1,11,November,2021,4,0,1,2025-08-27 16:36:00
20211102,2021-11-02,3,2,11,November,2021,4,0,1,2025-08-27 16:36:00
20211103,2021-11-03,4,3,11,November,2021,4,0,1,2025-08-27 16:36:00
20211104,2021-11-04,5,4,11,November,2021,4,0,1,2025-08-27 16:36:00
20211105,2021-11-05,6,5,11,November,2021,4,0,1,2025-08-27 16:36:00
20211106,2021-11-06,7,6,11,November,2021,4,1,1,2025-08-27 16:36:00
20211107,2021-11-07,1,7,11,November,2021,4,1,1,2025-08-27 16:36:00
20211108,2021-11-08,2,8,11,November,2021,4,0,1,2025-08-27 16:36:00
20211109,2021-11-09,3,9,11,November,2021,4,0,1,2025-08-27 16:36:00
20211110,2021-11-10,4,10,11,November,2021,4,0,1,2025-08-27 16:36:00
20211111,2021-11-11,5,11,11,November,2021,4,0,1,2025-08-27 16:36:00
20211112,2021-11-12,6,12,11,November,2021,4,0,1,2025-08-27 16:36:00
20211113,2021-11-13,7,13,11,November,2021,4,1,1,2025-08-27 16:36:00
20211114,2021-11-14,1,14,11,November,2021,4,1,1,2025-08-27 16:36:00
20211115,2021-11-15,2,15,11,November,2021,4,0,1,2025-08-27 16:36:00
20211116,2021-11-16,3,16,11,November,2021,4,0,1,2025-08-27 16:36:00
20211117,2021-11-17,4,17,11,November,2021,4,0,1,2025-08-27 16:36:00
20211118,2021-11-18,5,18,11,November,2021,4,0,1,2025-08-27 16:36:00
20211119,2021-11-19,6,19,11,November,2021,4,0,1,2025-08-27 16:36:00
20211120,2021-11-20,7,20,11,November,2021,4,1,1,2025-08-27 16:36:00
20211121,2021-11-21,1,21,11,November,2021,4,1,1,2025-08-27 16:36:00
20211122,2021-11-22,2,22,11,November,2021,4,0,1,2025-08-27 16:36:00
20211123,2021-11-23,3,23,11,November,2021,4,0,1,2025-08-27 16:36:00
20211124,2021-11-24,4,24,11,November,2021,4,0,1,2025-08-27 16:36:00
20211125,2021-11-25,5,25,11,November,2021,4,0,1,2025-08-27 16:36:00
20211126,2021-11-26,6,26,11,November,2021,4,0,1,2025-08-27 16:36:00
20211127,2021-11-27,7,27,11,November,2021,4,1,1,2025-08-27 16:36:00
20211128,2021-11-28,1,28,11,November,2021,4,1,1,2025-08-27 16:36:00
20211129,2021-11-29,2,29,11,November,2021,4,0,1,2025-08-27 16:36:00
20211130,2021-11-30,3,30,11,November,2021,4,0,1,2025-08-27 16:36:00
20211201,2021-12-01,4,1,12,December,2021,4,0,1,2025-08-27 16:36:00
20211202,2021-12-02,5,2,12,December,2021,4,0,1,2025-08-27 16:36:00
20211203,2021-12-03,6,3,12,December,2021,4,0,1,2025-08-27 16:36:00
